"Year,Month_Name,State,Vehicle_Category,EV_Sales_Quantity,Date_parsed"
"2014,Jan,Andhra Pradesh,Others,0,2014-01-01"
"2014,Jan,Andhra Pradesh,Bus,0,2014-01-01"
"2014,Jan,Andhra Pradesh,2-Wheelers,1,2014-01-01"
"2014,Jan,Andhra Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Andhra Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,Arunachal Pradesh,Others,0,2014-01-01"
"2014,Jan,Arunachal Pradesh,Bus,0,2014-01-01"
"2014,Jan,Arunachal Pradesh,2-Wheelers,0,2014-01-01"
"2014,Jan,Arunachal Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Arunachal Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,Assam,Others,0,2014-01-01"
"2014,Jan,Assam,Bus,0,2014-01-01"
"2014,Jan,Assam,2-Wheelers,0,2014-01-01"
"2014,Jan,Assam,4-Wheelers,0,2014-01-01"
"2014,Jan,Assam,3-Wheelers,0,2014-01-01"
"2014,Jan,Andaman & Nicobar Island,Bus,0,2014-01-01"
"2014,Jan,Andaman & Nicobar Island,Others,0,2014-01-01"
"2014,Jan,Andaman & Nicobar Island,2-Wheelers,0,2014-01-01"
"2014,Jan,Andaman & Nicobar Island,4-Wheelers,0,2014-01-01"
"2014,Jan,Andaman & Nicobar Island,3-Wheelers,0,2014-01-01"
"2014,Jan,Bihar,Others,0,2014-01-01"
"2014,Jan,Bihar,Bus,0,2014-01-01"
"2014,Jan,Bihar,2-Wheelers,0,2014-01-01"
"2014,Jan,Bihar,4-Wheelers,0,2014-01-01"
"2014,Jan,Bihar,3-Wheelers,0,2014-01-01"
"2014,Jan,Chhattisgarh,Others,0,2014-01-01"
"2014,Jan,Chhattisgarh,Bus,0,2014-01-01"
"2014,Jan,Chhattisgarh,2-Wheelers,10,2014-01-01"
"2014,Jan,Chhattisgarh,2-Wheelers,0,2014-01-01"
"2014,Jan,Chhattisgarh,4-Wheelers,0,2014-01-01"
"2014,Jan,Chhattisgarh,3-Wheelers,0,2014-01-01"
"2014,Jan,Chandigarh,Others,0,2014-01-01"
"2014,Jan,Chandigarh,Bus,0,2014-01-01"
"2014,Jan,Chandigarh,2-Wheelers,0,2014-01-01"
"2014,Jan,Chandigarh,4-Wheelers,0,2014-01-01"
"2014,Jan,Chandigarh,3-Wheelers,0,2014-01-01"
"2014,Jan,Dnh And Dd,Others,0,2014-01-01"
"2014,Jan,Dnh And Dd,2-Wheelers,0,2014-01-01"
"2014,Jan,Dnh And Dd,4-Wheelers,0,2014-01-01"
"2014,Jan,Dnh And Dd,Bus,0,2014-01-01"
"2014,Jan,Dnh And Dd,3-Wheelers,0,2014-01-01"
"2014,Jan,Delhi,Others,0,2014-01-01"
"2014,Jan,Delhi,Bus,0,2014-01-01"
"2014,Jan,Delhi,4-Wheelers,0,2014-01-01"
"2014,Jan,Delhi,2-Wheelers,2,2014-01-01"
"2014,Jan,Delhi,2-Wheelers,0,2014-01-01"
"2014,Jan,Delhi,4-Wheelers,5,2014-01-01"
"2014,Jan,Delhi,3-Wheelers,0,2014-01-01"
"2014,Jan,Goa,Others,0,2014-01-01"
"2014,Jan,Goa,Bus,0,2014-01-01"
"2014,Jan,Goa,2-Wheelers,0,2014-01-01"
"2014,Jan,Goa,4-Wheelers,0,2014-01-01"
"2014,Jan,Goa,4-Wheelers,1,2014-01-01"
"2014,Jan,Goa,3-Wheelers,0,2014-01-01"
"2014,Jan,Gujarat,Others,0,2014-01-01"
"2014,Jan,Gujarat,Others,1,2014-01-01"
"2014,Jan,Gujarat,Bus,0,2014-01-01"
"2014,Jan,Gujarat,2-Wheelers,14,2014-01-01"
"2014,Jan,Gujarat,2-Wheelers,0,2014-01-01"
"2014,Jan,Gujarat,4-Wheelers,0,2014-01-01"
"2014,Jan,Gujarat,3-Wheelers,0,2014-01-01"
"2014,Jan,Himachal Pradesh,Others,0,2014-01-01"
"2014,Jan,Himachal Pradesh,Bus,0,2014-01-01"
"2014,Jan,Himachal Pradesh,2-Wheelers,0,2014-01-01"
"2014,Jan,Himachal Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Himachal Pradesh,4-Wheelers,1,2014-01-01"
"2014,Jan,Himachal Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,Haryana,Others,1,2014-01-01"
"2014,Jan,Haryana,Others,0,2014-01-01"
"2014,Jan,Haryana,Bus,0,2014-01-01"
"2014,Jan,Haryana,2-Wheelers,0,2014-01-01"
"2014,Jan,Haryana,4-Wheelers,0,2014-01-01"
"2014,Jan,Haryana,4-Wheelers,1,2014-01-01"
"2014,Jan,Haryana,3-Wheelers,0,2014-01-01"
"2014,Jan,Jharkhand,Others,0,2014-01-01"
"2014,Jan,Jharkhand,Bus,0,2014-01-01"
"2014,Jan,Jharkhand,2-Wheelers,0,2014-01-01"
"2014,Jan,Jharkhand,4-Wheelers,0,2014-01-01"
"2014,Jan,Jharkhand,3-Wheelers,0,2014-01-01"
"2014,Jan,Jharkhand,3-Wheelers,1,2014-01-01"
"2014,Jan,Karnataka,Others,0,2014-01-01"
"2014,Jan,Karnataka,Bus,0,2014-01-01"
"2014,Jan,Karnataka,2-Wheelers,18,2014-01-01"
"2014,Jan,Karnataka,2-Wheelers,0,2014-01-01"
"2014,Jan,Karnataka,2-Wheelers,6,2014-01-01"
"2014,Jan,Karnataka,4-Wheelers,1,2014-01-01"
"2014,Jan,Karnataka,4-Wheelers,19,2014-01-01"
"2014,Jan,Karnataka,3-Wheelers,0,2014-01-01"
"2014,Jan,Kerala,Others,0,2014-01-01"
"2014,Jan,Kerala,Bus,0,2014-01-01"
"2014,Jan,Kerala,2-Wheelers,3,2014-01-01"
"2014,Jan,Kerala,4-Wheelers,0,2014-01-01"
"2014,Jan,Kerala,4-Wheelers,1,2014-01-01"
"2014,Jan,Kerala,3-Wheelers,0,2014-01-01"
"2014,Jan,Ladakh,Others,0,2014-01-01"
"2014,Jan,Ladakh,4-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,Others,0,2014-01-01"
"2014,Jan,Maharashtra,Bus,0,2014-01-01"
"2014,Jan,Maharashtra,3-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,2-Wheelers,78,2014-01-01"
"2014,Jan,Maharashtra,2-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,2-Wheelers,4,2014-01-01"
"2014,Jan,Maharashtra,4-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,4-Wheelers,3,2014-01-01"
"2014,Jan,Meghalaya,Others,0,2014-01-01"
"2014,Jan,Meghalaya,Bus,0,2014-01-01"
"2014,Jan,Meghalaya,2-Wheelers,0,2014-01-01"
"2014,Jan,Meghalaya,4-Wheelers,0,2014-01-01"
"2014,Jan,Meghalaya,3-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,Others,0,2014-01-01"
"2014,Jan,Madhya Pradesh,Bus,0,2014-01-01"
"2014,Jan,Madhya Pradesh,2-Wheelers,4,2014-01-01"
"2014,Jan,Madhya Pradesh,2-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,Others,0,2014-01-01"
"2014,Jan,Mizoram,Bus,0,2014-01-01"
"2014,Jan,Mizoram,4-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,2-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,3-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,Others,0,2014-01-01"
"2014,Jan,Nagaland,Bus,0,2014-01-01"
"2014,Jan,Nagaland,2-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,4-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,3-Wheelers,0,2014-01-01"
"2014,Jan,Odisha,Others,0,2014-01-01"
"2014,Jan,Odisha,Bus,0,2014-01-01"
"2014,Jan,Odisha,Others,1,2014-01-01"
"2014,Jan,Odisha,4-Wheelers,0,2014-01-01"
